UNITID,XF1A01,F1A01,XF1A31,F1A31,XF1A04,F1A04,XF1A05,F1A05,XF1A06,F1A06,XF1A19,F1A19,XF1A07,F1A07,XF1A08,F1A08,XF1A09,F1A09,XF1A10,F1A10,XF1A11,F1A11,XF1A12,F1A12,XF1A13,F1A13,XF1A20,F1A20,XF1A14,F1A14,XF1A15,F1A15,XF1A16,F1A16,XF1A17,F1A17,XF1A18,F1A18,XF1A214,F1A214,XF1A224,F1A224,XF1A234,F1A234,XF1A324,F1A324,XF1A274,F1A274,XF1A27T4,F1A27T4,XF1A284,F1A284,XF1A334,F1A334,XF1A344,F1A344,XF1D01,F1D01,XF1D02,F1D02,XF1D03,F1D03,XF1D04,F1D04,XF1D05,F1D05,XF1D06,F1D06,XF1B01,F1B01,XF1B02,F1B02,XF1B03,F1B03,XF1B04,F1B04,XF1B04A,F1B04A,XF1B04B,F1B04B,XF1B05,F1B05,XF1B06,F1B06,XF1B26,F1B26,XF1B07,F1B07,XF1B08,F1B08,XF1B09,F1B09,XF1B10,F1B10,XF1B11,F1B11,XF1B12,F1B12,XF1B13,F1B13,XF1B14,F1B14,XF1B15,F1B15,XF1B16,F1B16,XF1B17,F1B17,XF1B18,F1B18,XF1B19,F1B19,XF1B27,F1B27,XF1B20,F1B20,XF1B21,F1B21,XF1B22,F1B22,XF1B23,F1B23,XF1B24,F1B24,XF1B25,F1B25,XF1C011,F1C011,XF1C012,F1C012,XF1C021,F1C021,XF1C022,F1C022,XF1C031,F1C031,XF1C032,F1C032,XF1C051,F1C051,XF1C052,F1C052,XF1C061,F1C061,XF1C062,F1C062,XF1C071,F1C071,XF1C072,F1C072,XF1C101,F1C101,XF1C111,F1C111,XF1C112,F1C112,XF1C121,F1C121,XF1C122,F1C122,XF1C131,F1C131,XF1C132,F1C132,XF1C141,F1C141,XF1C142,F1C142,XF1C191,F1C191,XF1C192,F1C192,XF1C193,F1C193,XF1C19OM,F1C19OM,XF1C19DP,F1C19DP,XF1C19IN,F1C19IN,XF1C19OT,F1C19OT,F1MHP,XF1M01,F1M01,XF1M02,F1M02,XF1M03,F1M03,XF1M04,F1M04,F1MHOP,XF1M05,F1M05,XF1M06,F1M06,XF1M07,F1M07,XF1M08,F1M08,XF1E01,F1E01,XF1E02,F1E02,XF1E03,F1E03,XF1E04,F1E04,XF1E05,F1E05,XF1E06,F1E06,XF1E07,F1E07,XF1E08,F1E08,XF1E09,F1E09,XF1E10,F1E10,XF1E11,F1E11,XF1E12,F1E12,XF1E121,F1E121,XF1E122,F1E122,XF1E13,F1E13,XF1E131,F1E131,XF1E132,F1E132,XF1E14,F1E14,XF1E141,F1E141,XF1E142,F1E142,XF1E15,F1E15,XF1E151,F1E151,XF1E152,F1E152,XF1E16,F1E16,XF1E161,F1E161,XF1E162,F1E162,XF1E17,F1E17,XF1E171,F1E171,XF1E172,F1E172,F1FHA,XF1H01,F1H01,XF1H02,F1H02,XF1H03,F1H03,XF1H03A,F1H03A,XF1H03B,F1H03B,XF1H03C,F1H03C,XF1H03D,F1H03D,XF1N01,F1N01,XF1N02,F1N02,XF1N03,F1N03,XF1N04,F1N04,XF1N05,F1N05,XF1N06,F1N06,XF1N07,F1N07   
100654,"R",140845210,"R",213647087,"R",0,"R",213647087,"R",354492297,"R",34808821,"R",0,"R",54538350,"R",54538350,"R",47330016,"R",125328260,"R",172658276,"R",227196626,"R",30095027,"R",125378711,"R",4965785,"R",0,"R",1664969,"R",132009465,"R",5598193,"R",0,"R",246343454,"R",45424955,"R",58879738,"R",356246340,"R",152914822,"R",0,"R",10315569,"R",213968238,"R",220191717,"R",-6223479,"R",138232944,"R",0,"R",132009465,"R",52768565,"R",50875247,"R",1431067,"R",0,"R",0,"R",0,"R",26518907,"R",0,"R",1272445,"R",0,"R",1715100,"R",134581331,"R",4151771,"R",53817222,"R",0,"R",18071287,"R",0,"R",0,"R",3000000,"R",93797,"R",0,"R",79134077,"R",213715408,"R",0,"R",0,"R",0,"R",252830,"R",252830,"R",213968238,"R",34969711,"R",25714782,"R",13021062,"R",5916003,"R",14694606,"R",6709878,"R",6216069,"R",3888151,"R",55109188,"R",5342792,"R",23566167,"R",6513039,"R",33292674,"R",22524273,"R",4856948,"R",0,"R",0,"R",0,"R",0,"R",16797967,"R",3191878,"R",220191717,"R",62133471,"R",18167508,"R",1716718,"R",6972369,"R",442520,"R",130759131,1 ,"R",8288567,"R",86756000,"R",3365000,"R",20211803,1 ,"R",2902635,"R",35751021,"R",26730027,"R",14597018,"R",18071287,"R",10886800,"R",310064,"R",0,"R",0,"R",28058233,"R",57326384,"R",24033710,"R",0,"R",24033710,"R",33292674,"R",0,"R",0,"R",0,"R",89275,"R",89275,"Z",0,"R",23450,"R",23450,"Z",0,"R",0,"R",0,"Z",0,"R",0,"R",0,"Z",0,"R",23920985,"R",23920985,"R",0,2 ,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",34456945,"R",213968238,"R",-6223479,"R",138232944,"R",6630754,"R",18492073,"R",220191717
100663,"R",2358340043,"R",1916651035,"R",1745803363,"R",3662454398,"R",6020794441,"R",731560051,"R",56667288,"R",561921786,"R",618589074,"R",1292453575,"R",1607466891,"R",2899920466,"R",3518509540,"R",876499063,"R",783424663,"R",466127883,"R",435678701,"R",672114642,"R",2357345889,"R",172783527,"R",100972445,"R",2855729332,"R",1231389831,"R",116683942,"R",4477559077,"R",2667087182,"R",0,"R",106179140,"R",3619359009,"R",4002620050,"R",-383261041,"R",2742705157,"R",-2098227,"R",2357345889,"R",238778078,"R",465169073,"R",12555524,"R",94713738,"R",2610062,"R",92103676,"R",57796141,"R",2630839235,"R",66563264,"R",0,"R",27307442,"R",3593722495,"R",21209457,"R",332448930,"R",0,"R",61949289,"R",0,"R",0,"R",37066668,"R",-519999976,"R",7495018,"R",-59830614,"R",3533891881,"R",26379881,"R",12806674,"R",44941789,"R",1338784,"R",85467128,"R",3619359009,"R",315434909,"R",207587815,"R",360236807,"R",165375359,"R",218996277,"R",88066459,"R",205980491,"R",139035301,"R",40242592,"R",22441189,"R",239373162,"R",80207018,"R",33114448,"R",89854413,"R",13159043,"R",2423463343,"R",830495260,"R",0,"R",0,"R",75923608,"R",0,"R",4002620050,"R",1546367444,"R",380362099,"R",115756736,"R",170174284,"R",38198294,"R",1751761193,1 ,"R",64413000,"R",1048949000,"R",356216000,"R",270264000,1 ,"R",11510608,"R",553774052,"R",490253810,"R",446203779,"R",23889759,"R",16891894,"R",218665,"R",26619,"R",12266239,"R",78775397,"R",132068573,"R",95706620,"R",3247505,"R",98954125,"R",33114448,"R",17378456,"R",17378456,"R",0,"R",11929172,"R",11929172,"R",0,"R",159067,"R",159067,"R",0,"R",19364,"R",19364,"R",0,"R",7654702,"R",7654702,"R",0,"R",61813364,"R",58565859,"R",3247505,1 ,"R",711616804,"R",673320170,"R",-38296634,"R",62222261,"R",-100518895,"R",-27433136,"R",27433136,"R",-467733944,"R",4382589530,"R",-432241315,"R",4527720339,"R",3287705354,"R",165975422,"R",4850323473
100706,"R",158126459,"R",289320061,"R",128658756,"R",417978817,"R",576105276,"R",90140786,"R",5774000,"R",79499845,"R",85273845,"R",136400449,"R",200320929,"R",336721378,"R",421995223,"R",97192675,"R",169028853,"R",17530186,"R",14731520,"R",-54232395,"R",147058164,"R",42263555,"R",0,"R",468924357,"R",115860776,"R",4877938,"R",631926626,"R",328780795,"R",1424531,"R",0,"R",327609604,"R",305376980,"R",22232624,"R",125039276,"R",-213736,"R",147058164,"R",75541635,"R",133971106,"R",5296529,"R",2458988,"R",0,"R",2458988,"R",13349046,"R",0,"R",5341508,"R",0,"R",0,"R",235958812,"R",0,"R",58322523,"R",0,"R",19528130,"R",0,"R",0,"R",4615976,"R",-16315109,"R",0,"R",66151520,"R",302110332,"R",25179272,"R",320000,"R",0,"R",0,"R",25499272,"R",327609604,"R",71612576,"R",45339570,"R",127573997,"R",61031715,"R",6413738,"R",2236558,"R",14319334,"R",7077175,"R",23137843,"R",8590660,"R",21864715,"R",11559657,"R",12911599,"R",13478477,"R",2451674,"R",0,"R",0,"R",0,"R",0,"R",14064701,"R",4076444,"R",305376980,"R",142363453,"R",46315605,"R",14982342,"R",18948582,"R",5845001,"R",76921997,1 ,"R",11842739,"R",146630000,"R",45743000,"R",43554769,1 ,"R",2221961,"R",52882284,"R",44696348,"R",46586017,"R",7775497,"R",8678630,"R",168960,"R",0,"R",3109344,"R",39443224,"R",59175655,"R",44907292,"R",1356764,"R",46264056,"R",12911599,"R",7510581,"R",7510581,"R",0,"R",312810,"R",312810,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",852910,"R",835852,"R",17058,"R",37587755,"R",36248049,"R",1339706,1 ,"R",100321016,"R",87756960,"R",-12564056,"R",4256050,"R",-13658728,"R",-3521974,"R",360596,"R",3233841,"R",315035658,"R",25556888,"R",414862804,"R",228948970,"R",142174449,"R",309625095
100724,"R",113191113,"R",243082139,"R",901027,"R",243983166,"R",357174279,"R",44017518,"R",5093714,"R",26998366,"R",32092080,"R",45290000,"R",97975535,"R",143265535,"R",175357615,"R",54213399,"R",200340602,"R",26981742,"R",250000,"R",-55951561,"R",171620783,"R",21259653,"R",89542243,"R",284878644,"R",30722402,"R",965263,"R",427368205,"R",189570873,"R",5284808,"R",0,"R",173916291,"R",162611000,"R",11305291,"R",160845494,"R",-530002,"R",171620783,"R",35863560,"R",37849487,"R",4010325,"R",2947183,"R",0,"R",2947183,"R",13742749,"R",0,"R",0,"Z",0,"R",10014276,"R",104427580,"R",0,"R",55021738,"R",0,"R",14317676,"R",291061,"R",0,"R",122784,"R",-3276318,"R",0,"R",66476941,"R",170904521,"R",3011770,"R",0,"R",0,"R",0,"R",3011770,"R",173916291,"R",36266697,"R",27747310,"R",4489287,"R",1878007,"R",4029044,"R",2380650,"R",17613184,"R",7803214,"R",20991021,"R",10375892,"R",41065705,"R",11539621,"R",25765563,"R",12390499,"R",2302862,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",162611000,"R",64027556,"R",10601831,"R",16681793,"R",12228808,"R",3297164,"R",55773848,1 ,"R",-3187164,"R",60041352,"R",19489000,"R",15044500,1 ,"R",-786279,"R",34013081,"R",34724399,"R",28584747,"R",14066676,"R",9303072,"R",291061,"R",0,"R",647664,"R",18349060,"R",42657533,"R",14444644,"R",2447326,"R",16891970,"R",25765563,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",16891970,"R",14444644,"R",2447326,1 ,"R",130589167,"R",108202146,"R",-22387021,"R",75693,"R",-13402577,"R",-930010,"R",-8130127,"R",353775,"R",183937797,"R",353775,"R",273542856,"R",0,"R",45290000,"R",163541010
100733,"R",26209698,"R",15961161,"R",11667501,"R",27628662,"R",53838360,"R",8043396,"R",0,"R",5094529,"R",5094529,"R",0,"R",20873175,"R",20873175,"R",25967704,"R",9404500,"R",15848938,"R",19570533,"R",0,"R",-8909919,"R",26509552,"R",106750,"R",76802,"R",20195439,"R",196059,"R",6930,"R",20581980,"R",4847359,"R",0,"R",226539,"R",39941083,"R",21003861,"R",18937222,"R",7575305,"R",-2975,"R",26509552,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"A",,"R",0,"A",,"R",22176709,"R",22176709,"R",0,"R",19570533,"R",0,"R",0,"R",0,"R",0,"R",24494,"R",-1841903,"R",11250,"R",17764374,"R",39941083,"R",0,"R",0,"R",0,"R",0,"R",0,"R",39941083,"R",0,"Z",0,"R",0,"Z",0,"R",0,"Z",0,"R",0,"Z",0,"R",0,"Z",0,"R",19645256,"R",13694563,"R",0,"R",0,"R",0,"A",,"A",,"A",,"A",,"R",1358605,"R",0,"R",21003861,"R",13694563,"R",3293719,"R",0,"R",586787,"R",3598,"R",3425194,1 ,"R",1161150,"R",15386000,"R",3622500,"R",3181396,1 ,"R",197455,"R",5437399,"R",5782000,"R",4862000,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,2 ,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",18937221,"R",39941083,"R",18937221,"R",7572331,"R",8909919,"R",0,"R",21003861
100751,"R",867733598,"R",2291578878,"R",2053896758,"R",4345475636,"R",5213209234,"R",344140710,"R",45898865,"R",509793352,"R",555692217,"R",1105798605,"R",793461642,"R",1899260247,"R",2454952464,"R",377201632,"R",1460621877,"R",561259065,"R",600413389,"R",102901517,"R",2725195848,"R",189609855,"R",195041734,"R",2703728588,"R",412979262,"R",91697132,"R",3593056571,"R",1090933605,"R",59263831,"R",4281286,"R",1054248871,"R",1192566497,"R",-138317626,"R",2863513474,"R",0,"R",2725195848,"R",485015783,"R",87186540,"R",33028646,"R",8978351,"R",1766951,"R",7211400,"R",220599553,"R",0,"R",16934239,"R",0,"R",92211504,"R",943954616,"R",0,"R",194970221,"R",0,"R",37082202,"R",0,"R",0,"R",44942506,"R",-286146166,"R",5382704,"R",-3768533,"R",940186083,"R",20953780,"R",33892304,"R",58711463,"R",505241,"R",114062788,"R",1054248871,"R",311837789,"R",166873390,"R",169667611,"R",88575977,"R",62750063,"R",31800035,"R",112645297,"R",51113841,"R",73513669,"R",29244040,"R",119034755,"R",54301234,"R",33834238,"R",248604525,"R",74218112,"R",0,"R",0,"R",0,"R",0,"R",60678550,"R",0,"R",1192566497,"R",496126629,"R",164888107,"R",93201422,"R",91059806,"R",34270601,"R",313019932,1 ,"R",46340744,"R",553948000,"R",177238000,"R",151789003,1 ,"R",5289405,"R",220215581,"R",191460865,"R",175147900,"R",30448171,"R",6751890,"R",888019,"R",0,"R",16848557,"R",272793552,"R",327730189,"R",280492218,"R",13403733,"R",293895951,"R",33834238,"R",30448171,"R",30448171,"R",0,"R",5369001,"R",5369001,"R",0,"R",888019,"R",888019,"R",0,"R",0,"R",0,"R",0,"R",8619889,"R",8619889,"R",0,"R",248570871,"R",235167138,"R",13403733,1 ,"R",1237611651,"R",1144632976,"R",-92978675,"R",80213832,"R",-102247571,"R",-70273090,"R",-671846,"R",112847773,"R",1369338726,"R",-157141890,"R",3908502304,"R",1525995652,"R",1230527399,"R",1256490953
100760,"R",17253193,"R",31968552,"R",0,"R",31968552,"R",49221745,"R",4131758,"R",280000,"R",4917388,"R",5197388,"R",5356907,"R",13940968,"R",19297875,"R",24495263,"R",8139738,"R",26297046,"R",152857,"R",491437,"R",-6222838,"R",20718502,"R",1699274,"R",2366988,"R",44335030,"R",9243840,"R",331461,"R",57976593,"R",26058363,"R",50322,"Z",0,"R",38043960,"R",20026772,"R",18017188,"R",2701313,"R",1,"R",20718502,"R",2981765,"R",1467682,"R",1919080,"R",0,"R",0,"R",0,"R",0,"A",,"R",0,"A",,"R",0,"R",6368527,"R",0,"R",20537993,"R",0,"R",5602643,"R",0,"R",4490975,"R",66696,"R",7214,"R",969912,"R",31675433,"R",38043960,"R",0,"R",0,"R",0,"R",0,"R",0,"R",38043960,"R",8253483,"R",4829092,"R",0,"R",0,"R",22552,"R",0,"R",1025289,"R",577682,"R",2657747,"R",1373383,"R",4067113,"R",1549783,"R",3347472,"R",0,"R",0,"A",,"A",,"A",,"A",,"R",653116,"R",0,"R",20026772,"R",8329940,"R",1365348,"R",2240348,"R",1471885,"R",160504,"R",6458747,1 ,"R",345699,"R",9601000,"R",3770000,"R",2409039,1 ,"R",307417,"R",3895157,"R",4369738,"R",1722719,"R",2479608,"R",80750,"R",2552417,"Z",0,"Z",0,"R",607900,"R",5720675,"R",2373203,"R",0,"R",2373203,"R",3347472,"R",1432310,"R",1432310,"R",0,"R",30403,"R",30403,"R",0,"R",302590,"R",302590,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",607900,"R",607900,"R",0,1 ,"R",146977,"R",144975,"R",-2002,"R",0,"R",276,"R",0,"R",-2278,"R",16697329,"R",38043960,"R",16697299,"R",19056747,"R",7731993,"R",5622243,"R",18706880
100812,"R",30277415,"R",44152527,"R",7781391,"R",51933918,"R",82211333,"R",12001687,"R",1474000,"R",7803132,"R",9277132,"R",6218000,"R",35698049,"R",41916049,"R",51193181,"R",16188956,"R",33818495,"R",954335,"R",200000,"R",-8141947,"R",26830883,"R",2593856,"R",2633789,"R",53344126,"R",4222665,"R",2611763,"R",65406199,"R",21253672,"R",0,"R",0,"R",48439493,"R",43358613,"R",5080880,"R",21750003,"R",0,"R",26830883,"R",14973463,"R",5151018,"R",3613307,"R",0,"R",0,"R",0,"R",408000,"R",0,"R",0,"R",0,"R",0,"R",24145788,"R",0,"R",19349390,"R",0,"R",5333254,"R",0,"R",0,"R",0,"R",-1192329,"R",803390,"R",24293705,"R",48439493,"Z",0,"Z",0,"Z",0,"R",0,"R",0,"R",48439493,"R",19201167,"R",12971113,"R",0,"R",0,"R",0,"R",0,"R",3682605,"R",2149827,"R",3730367,"R",2411034,"R",9244687,"R",3767585,"R",5448299,"R",439295,"R",185704,"R",0,"R",0,"R",0,"R",0,"R",1612193,"R",0,"R",43358613,"R",21485263,"R",6855561,"R",1873339,"R",1212432,"R",207313,"R",11724705,1 ,"R",2225429,"R",24931000,"R",7908000,"R",7351975,1 ,"R",-613236,"R",9475316,"R",8280956,"R",4473262,"R",5333254,"R",3166767,"R",579726,"Z",0,"Z",0,"R",757278,"R",9837025,"R",4388726,"R",0,"R",4388726,"R",5448299,"R",2094377,"R",2094377,"R",0,"R",1107910,"R",1107910,"R",0,"R",90594,"R",90594,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",1095845,"R",1095845,"R",0,1 ,"R",5701551,"R",4982337,"R",-719214,"R",0,"R",0,"R",0,"R",-719214,"R",-19005512,"R",48439493,"R",5080880,"R",26830883,"R",-7187612,"R",7692000,"R",43358613
100830,"R",23215564,"R",97369361,"R",89131747,"R",186501108,"R",209716672,"R",32278687,"R",134927,"R",30964496,"R",31099423,"R",134410,"R",147026909,"R",147161319,"R",178260742,"R",34793246,"R",22684617,"R",30727131,"R",5378064,"R",-29848441,"R",28941371,"R",15407483,"R",10835336,"R",137049750,"R",34579364,"R",1858354,"R",199730287,"R",102360927,"R",0,"R",0,"R",121477165,"R",105810653,"R",15666512,"R",13250201,"R",24658,"R",28941371,"R",39293170,"R",1683396,"R",2548967,"R",61369,"R",0,"R",61369,"R",7734228,"R",0,"R",1572126,"Z",0,"R",651210,"R",53544466,"R",0,"R",43666861,"R",0,"R",23206551,"R",0,"R",0,"R",949495,"R",0,"R",0,"R",67822907,"R",121367373,"R",0,"R",0,"R",109792,"R",0,"R",109792,"R",121477165,"R",37364196,"R",22447899,"R",738295,"R",424776,"R",3132053,"R",1939182,"R",5656920,"R",3898238,"R",10220522,"R",5317866,"R",11549870,"R",6517184,"R",9729533,"R",6788744,"R",1647477,"R",0,"R",0,"R",0,"R",0,"R",20630520,"R",1305565,"R",105810653,"R",43498187,"R",12034835,"R",7221542,"R",5529899,"R",2300464,"R",35225726,1 ,"R",-498153,"R",55980170,"R",15528225,"R",14810694,1 ,"R",-174807,"R",22083644,"R",19265021,"R",17467993,"R",9363756,"R",6324354,"R",196468,"R",0,"R",1676228,"R",10676042,"R",28236848,"R",16560085,"R",1947230,"R",18507315,"R",9729533,"R",9363756,"R",8378557,"R",985199,"R",512945,"R",458976,"R",53969,"R",196468,"R",175797,"R",20671,"R",0,"R",0,"R",0,"R",1936749,"R",1732976,"R",203773,"R",6497397,"R",5813779,"R",683618,1 ,"R",64217660,"R",57070175,"R",-7147485,"R",895235,"R",-5303621,"R",-2739100,"R",1,"R",15556720,"R",121367373,"R",15666512,"R",28941371,"R",878690,"R",74589652,"R",105810653
100858,"R",307029186,"R",2007300890,"R",1802457291,"R",3809758181,"R",4116787367,"R",396747211,"R",61811213,"R",416276857,"R",478088070,"R",1134798599,"R",964946556,"R",2099745155,"R",2577833225,"R",406407157,"R",1390254690,"R",220957551,"R",25234617,"R",-107152662,"R",1529294196,"R",214007492,"R",289763115,"R",2357983527,"R",534834093,"R",146822560,"R",3543410787,"R",1336293981,"R",0,"R",3467291,"R",1201744560,"R",1266871197,"R",-65126637,"R",1595106792,"R",-685959,"R",1529294196,"R",507624046,"R",141755912,"R",16094493,"R",21211331,"R",2763472,"R",18447859,"R",198268014,"R",0,"R",58340496,"R",0,"R",18495225,"R",961789517,"R",0,"R",289742794,"R",0,"R",16330225,"R",0,"R",0,"R",52178255,"R",-130507169,"R",0,"R",227744105,"R",1189533622,"R",0,"R",12029012,"R",181926,"R",0,"R",12210938,"R",1201744560,"R",251264353,"R",142452131,"R",263777680,"R",125563773,"R",115481749,"R",51703433,"R",159868807,"R",88655444,"R",44463981,"R",20094191,"R",110677682,"R",61085815,"R",17085757,"R",230602646,"R",62596468,"R",0,"R",0,"R",0,"R",0,"R",73648542,"R",0,"R",1266871197,"R",552151255,"R",175573195,"R",130632911,"R",105512727,"R",36361685,"R",266639424,1 ,"R",67456869,"R",599044361,"R",178953005,"R",166036980,1 ,"R",5993536,"R",284479568,"R",221547746,"R",199824068,"R",15957869,"R",1519065,"R",131274,"R",2947,"R",61511807,"R",97703794,"R",176826756,"R",150555527,"R",9185472,"R",159740999,"R",17085757,"R",15957869,"R",15040255,"R",917614,"R",4135414,"R",3897618,"R",237796,"R",394444,"R",371763,"R",22681,"R",0,"R",0,"R",0,"R",27083021,"R",25525686,"R",1557335,"R",112170251,"R",105720205,"R",6450046,1 ,"R",993955140,"R",911152148,"R",-82802992,"R",50025692,"R",-94733790,"R",-38094895,"R",1,"R",-77337575,"R",1189533622,"R",-65126637,"R",1529294196,"R",116804889,"R",1196609812,"R",1266871197
